naam,inventaris
Jan	,"['dadels', 'suiker', 'palmolie', 'maple', 'koffie', 'goud', 'smaragd', 'smaragd', 'smaragd', 'olie', 'olie', 'suiker', 'dadels', 'palmolie']"
Poep,"['suiker', 'dadels', 'palmolie', 'maple', 'kaas', 'sinasappel', 'olie', 'suiker', 'palmolie', 'maple', 'suiker', 'suiker', 'olie', 'olie']"
Tata,"['suiker', 'suiker', 'kaas', 'olie', 'olie', 'olie', 'olie', 'olie', 'dadels', 'dadels', 'maple', 'maple', 'suiker', 'olie']"
Kak,"['kaas', 'maple', 'dadels', 'olie', 'smaragd', 'koffie', 'smaragd', 'sinasappel', 'smaragd', 'smaragd', 'sinasappel', 'sinasappel', 'olie', 'suiker']"
